No,sales,price,brand,feat
84,28095.99999,2.5,tropicana,1
85,12416,2.58,tropicana,0
86,5376,3.19,tropicana,0
87,9792,2.67,tropicana,0
88,16960,2.39,tropicana,1
89,8320,3.19,tropicana,0
90,6912,3.19,tropicana,0
91,6976,3.19,tropicana,0
92,7232,3.19,tropicana,0
93,51520.00001,2.49,tropicana,1
94,22272,2.21,tropicana,0
95,46144.00002,1.99,tropicana,1
96,4352,3.19,tropicana,1
97,17280,2.69,tropicana,0
98,5696,3.19,tropicana,0
99,6848,3.19,tropicana,0
100,4416,3.19,tropicana,0
101,4672,3.16,tropicana,0
102,7168,3.09,tropicana,1
103,5056,3.19,tropicana,0
104,13376,2.79,tropicana,1
105,8128,2.75,tropicana,0
106,19456,2.49,tropicana,1
107,10048,2.64,tropicana,0
108,6336,3.19,tropicana,0
109,16192,2.79,tropicana,1
110,5824,2.97,tropicana,0
111,4480,3.17,minute.maid,0
112,4672,3.17,minute.maid,0
113,20160,2.39,minute.maid,1
114,2688,3.17,minute.maid,0
115,3008,3.17,minute.maid,0
116,4672,3.17,minute.maid,0
117,2752,3.17,minute.maid,0
118,26175.99999,2.19,minute.maid,1
119,3712,3.17,minute.maid,0
120,30656.00001,1.99,minute.maid,1
121,3840,2.98,minute.maid,0
122,2816,3.17,minute.maid,0
123,23104.00001,1.99,minute.maid,1
124,3392,3.17,minute.maid,0
125,26304,1.99,minute.maid,1
126,6336,1.99,minute.maid,0
127,9920,3.17,minute.maid,0
128,25279.99999,1.99,minute.maid,1
129,14848,1.99,minute.maid,0
130,12288,1.99,minute.maid,0
131,6272,1.99,minute.maid,0
132,9152,1.99,minute.maid,0
133,4160,2.59,minute.maid,0
134,10176,2.59,minute.maid,0
135,29055.99999,1.99,minute.maid,1
136,7104,2.59,minute.maid,0
137,7488,2.49,minute.maid,0
138,4224,2.49,minute.maid,0
139,8960,2.49,minute.maid,0
140,22464,1.99,minute.maid,1
141,3840,2.59,minute.maid,0
142,12992,2.59,minute.maid,0
143,70144.00001,1.69,minute.maid,1
144,21248,1.69,minute.maid,0
145,5696,2.59,minute.maid,1
146,7680,2.09,minute.maid,0
147,6336,2.09,minute.maid,0
148,8576,2.09,minute.maid,0
149,15104,2.09,minute.maid,0
150,76480.00002,1.39,minute.maid,1
151,5056,2.39,minute.maid,0
152,4736,2.39,minute.maid,0
153,4480,2.39,minute.maid,0
154,4032,2.39,minute.maid,0
155,14784,1.79,minute.maid,1
156,12096,2.39,minute.maid,0
157,41792.00002,1.69,minute.maid,1
158,10560,1.69,minute.maid,0
159,4224,2.39,minute.maid,0
160,2880,2.39,minute.maid,0
161,3968,2.39,minute.maid,0
162,3712,2.39,minute.maid,0
163,2816,2.39,minute.maid,0
164,4288,2.39,minute.maid,0
165,18240,1.99,minute.maid,1
166,7360,1.95,minute.maid,0
167,7808,1.83,minute.maid,0
168,13504,1.79,minute.maid,0
169,10048,1.91,minute.maid,0
170,135936,1.69,minute.maid,1
171,5056,2.39,minute.maid,0
172,27967.99999,1.49,minute.maid,0
173,4736,2.39,minute.maid,0
174,7808,2.14,minute.maid,0
175,12480,1.99,minute.maid,0
176,9664,1.99,minute.maid,0
177,7168,2.06,minute.maid,0
178,4480,2.39,minute.maid,0
179,5952,2.22,minute.maid,0
180,21696,1.99,minute.maid,1
181,12032,1.99,minute.maid,0
182,7040,2.12,minute.maid,0
183,10240,2.49,minute.maid,1
184,6848,2.49,minute.maid,1
185,3968,2.61,minute.maid,0
186,5888,2.26,minute.maid,0
187,6208,1.99,minute.maid,0
188,72256.00004,1.99,minute.maid,1
189,11520,2.11,minute.maid,0
190,5824,2.35,minute.maid,0
191,19392,1.99,minute.maid,1
192,9536,2.1,minute.maid,0
193,5312,2.28,minute.maid,0
194,14528,1.9,minute.maid,1
195,12416,2.12,minute.maid,0
196,5376,2.79,minute.maid,0
197,19008,2.09,minute.maid,1
198,3904,2.79,minute.maid,0
199,6336,2.79,minute.maid,0
200,5440,2.79,minute.maid,0
201,22400,2.09,minute.maid,1
202,3968,2.84,minute.maid,0
203,3264,2.89,minute.maid,0
204,4352,2.89,minute.maid,0
205,4480,2.89,minute.maid,0
206,3840,2.52,minute.maid,0
207,13312,2,minute.maid,1
208,3776,2.33,minute.maid,1
209,4800,2.89,minute.maid,0
210,24959.99999,2.29,minute.maid,1
211,4544,2.86,minute.maid,0
212,3968,2.81,minute.maid,1
213,49600.00001,1.99,minute.maid,1
214,23487.99999,1.94,minute.maid,1
215,19008,1.69,minute.maid,0
216,11584,1.81,minute.maid,0
217,26752,1.99,minute.maid,1
218,3904,2.83,minute.maid,0
219,3712,2.67,minute.maid,0
220,41215.99998,2.19,minute.maid,1
221,10560,1.59,dominicks,1
222,8000,2.69,dominicks,0
223,6848,2.09,dominicks,1
224,2880,2.09,dominicks,0
225,1600,2.09,dominicks,0
226,25344.00001,1.89,dominicks,1
227,10752,1.89,dominicks,0
228,6656,1.89,dominicks,0
229,6592,1.79,dominicks,0
230,1728,2.69,dominicks,0
231,33792,1.24,dominicks,1
232,1920,1.59,dominicks,0
233,8960,1.59,dominicks,1
234,11392,1.29,dominicks,0
235,28416.00001,0.99,dominicks,0
236,17152,1.59,dominicks,1
237,26560.00001,2.49,dominicks,1
238,6336,2.69,dominicks,0
239,26368.00001,1.39,dominicks,1
240,896,2.69,dominicks,0
241,1472,2.69,dominicks,0
242,1344,2.69,dominicks,0
243,111680,0.99,dominicks,1
244,1856,2.69,dominicks,0
245,5568,2.69,dominicks,0
246,32063.99999,1.49,dominicks,1
247,4352,1.49,dominicks,0
248,704,2.69,dominicks,0
249,13760,2.69,dominicks,0
250,43327.99999,1.09,dominicks,1
251,57600.00002,1.09,dominicks,1
252,704,2.69,dominicks,0
253,6016,2.69,dominicks,0
254,10368,1.59,dominicks,1
255,12608,1.59,dominicks,0
256,6336,1.59,dominicks,0
257,140736,0.99,dominicks,1
258,960,2.69,dominicks,1
259,1216,2.69,dominicks,0
260,1664,2.69,dominicks,0
261,4992,2.69,dominicks,0
262,27967.99999,1.59,dominicks,1
263,12160,1.59,dominicks,0
264,2240,2.69,dominicks,0
265,5504,1.49,dominicks,1
266,8832,1.29,dominicks,0
267,2624,1.99,dominicks,0
268,10432,1.99,dominicks,0
269,8320,1.59,dominicks,0
270,6784,1.99,dominicks,0
271,60543.99998,0.99,dominicks,1
272,20608,0.99,dominicks,0
273,16064,1.39,dominicks,0
274,12480,1.39,dominicks,0
275,17024,1.39,dominicks,0
276,13440,1.59,dominicks,1
277,10112,1.59,dominicks,0
278,9088,1.56,dominicks,0
279,22848,1.49,dominicks,1
280,6976,1.65,dominicks,0
281,4160,1.99,dominicks,0
282,3328,1.83,dominicks,0
283,12096,1.69,dominicks,1
284,6208,1.76,dominicks,0
285,3008,1.99,dominicks,0
286,19456,1.5,dominicks,1
287,16768,1.59,dominicks,0
288,13568,1.59,dominicks,1
289,6080,1.61,dominicks,0
290,10432,1.69,dominicks,1
291,11712,1.69,dominicks,0
292,4032,1.76,dominicks,0
293,6336,1.82,dominicks,0
294,13632,1.47,dominicks,0
295,45119.99999,1.29,dominicks,0
296,9984,1.39,dominicks,0
297,4800,1.82,dominicks,0
298,11776,1.69,dominicks,0
299,11584,1.54,dominicks,0
300,51263.99998,1.39,dominicks,1
301,14976,1.44,dominicks,0
302,30783.99999,1.59,dominicks,0
303,12480,1.6,dominicks,0
304,3264,1.99,dominicks,0
305,8768,1.48,dominicks,0
306,70848,1.29,dominicks,1
307,18560,1.42,dominicks,0
308,9152,1.99,dominicks,0
309,9600,2,dominicks,0
310,4800,2.09,dominicks,0
311,9664,1.69,dominicks,0
312,45568.00001,1.69,dominicks,0
313,20992,1.74,dominicks,0
314,6592,2.09,dominicks,0
315,4992,2.05,dominicks,0
316,8064,1.24,dominicks,0
317,7360,1.61,dominicks,0
318,10048,1.4,dominicks,0
319,10112,1.91,dominicks,0
320,9152,1.69,dominicks,0
321,36288,1.49,dominicks,1
322,3776,1.99,dominicks,1
323,3328,1.97,dominicks,0
324,13824,1.36,dominicks,0
325,9024,1.19,dominicks,0
326,2048,2.09,dominicks,0
327,1984,2.09,dominicks,0
328,4160,1.77,dominicks,0
329,35264.00002,1.49,dominicks,0
330,8640,1.82,dominicks,0
331,5888,3.66,tropicana,0
332,6976,3.66,tropicana,0
333,6528,3.66,tropicana,0
334,4928,3.66,tropicana,0
335,5312,3.66,tropicana,0
336,5120,3.66,tropicana,0
337,7936,3.66,tropicana,0
338,6080,3.66,tropicana,0
339,4160,3.66,tropicana,0
340,5888,3.66,tropicana,0
341,9536,3.29,tropicana,0
342,8320,3.29,tropicana,0
343,8000,3.29,tropicana,0
344,5824,3.66,tropicana,0
345,10624,3.29,tropicana,1
346,6656,3.29,tropicana,0
347,5184,3.51,tropicana,0
348,4928,3.51,tropicana,0
349,5888,3.51,tropicana,0
350,5312,3.51,tropicana,0
351,9984,3.66,tropicana,0
352,8448,2.99,tropicana,0
353,10880,2.99,tropicana,0
354,5696,3.39,tropicana,0
355,5696,3.39,tropicana,0
356,32384.00001,2.39,tropicana,0
357,10752,2.39,tropicana,0
358,6912,3.39,tropicana,0
359,13440,2.59,tropicana,0
360,7808,2.59,tropicana,0
361,5248,3.39,tropicana,0
362,6208,3.39,tropicana,0
363,21440,2.49,tropicana,0
364,7360,3.39,tropicana,0
365,6720,3.39,tropicana,0
366,6656,3.39,tropicana,0
367,6016,3.39,tropicana,0
368,6144,3.39,tropicana,0
369,4928,3.39,tropicana,0
370,67712.00002,1.69,tropicana,1
371,8640,3.39,tropicana,0
372,35520,1.99,tropicana,1
373,9664,3.39,tropicana,0
374,49088.00001,1.99,tropicana,1
375,14912,1.99,tropicana,0
376,6464,3.39,tropicana,0
377,25023.99999,2.29,tropicana,1
378,6272,3.39,tropicana,0
379,5056,3.39,tropicana,0
380,47615.99999,1.99,tropicana,0
381,13888,1.99,tropicana,0
382,6144,3.39,tropicana,0
383,9344,3.39,tropicana,0
384,32896.00001,1.99,tropicana,0
385,21056,1.99,tropicana,0
386,15360,1.99,tropicana,0
387,8000,3.39,tropicana,1
388,21120,2.19,tropicana,0
389,11904,2.19,tropicana,0
390,5056,3.39,tropicana,0
391,4608,3.39,tropicana,0
392,6016,3.39,tropicana,0
393,50752,1.99,tropicana,1
394,5632,3.39,tropicana,0
395,6400,3.39,tropicana,0
396,5440,2.99,tropicana,0
397,8128,2.94,tropicana,0
398,7232,2.94,tropicana,0
399,7168,2.94,tropicana,0
400,7872,2.94,tropicana,0
401,7552,2.99,tropicana,0
402,69504.00001,1.99,tropicana,1
403,8960,2.99,tropicana,0
404,6912,2.99,tropicana,0
405,6656,2.99,tropicana,0
406,8192,2.99,tropicana,0
407,13440,2.39,tropicana,0
408,12160,2.39,tropicana,0
409,11840,2.29,tropicana,0
410,8640,2.29,tropicana,0
411,5888,2.99,tropicana,0
412,7424,2.99,tropicana,0
413,5632,2.99,tropicana,0
414,33600,1.99,tropicana,1
415,5376,2.99,tropicana,0
416,54271.99999,1.99,tropicana,1
417,33600,1.79,tropicana,0
418,24448,1.79,tropicana,0
419,22784,1.79,tropicana,0
420,19008,2.99,tropicana,0
421,15808,2.5,tropicana,1
422,14144,2.5,tropicana,0
423,9600,2.99,tropicana,0
424,10112,2.99,tropicana,0
425,31871.99999,2.24,tropicana,1
426,9280,2.99,tropicana,0
427,7680,2.99,tropicana,0
428,8704,2.99,tropicana,0
429,9920,2.99,tropicana,0
430,91967.99996,2.49,tropicana,1
431,44095.99998,2.49,tropicana,0
432,7296,2.99,tropicana,1
433,12928,2.69,tropicana,0
434,6848,2.99,tropicana,0
435,8064,2.99,tropicana,0
436,4992,2.99,tropicana,0
437,7360,2.99,tropicana,0
438,8384,2.89,tropicana,1
439,8832,2.99,tropicana,0
440,17728,2.79,tropicana,1
441,9600,2.99,tropicana,0
442,25664.00001,2.49,tropicana,1
443,9984,2.49,tropicana,0
444,8576,2.99,tropicana,0
445,13184,2.78,tropicana,1
446,7488,2.78,tropicana,0
447,4224,2.99,minute.maid,0
448,4352,2.99,minute.maid,0
449,4928,2.99,minute.maid,0
450,31167.99999,2.59,minute.maid,1
451,10048,2.99,minute.maid,0
452,21760,2.39,minute.maid,1
453,4544,2.99,minute.maid,0
454,52223.99998,1.99,minute.maid,1
455,3584,2.99,minute.maid,0
456,5120,2.99,minute.maid,0
457,4416,2.99,minute.maid,0
458,30208,2.19,minute.maid,1
459,4160,2.99,minute.maid,0
460,4992,2.99,minute.maid,0
461,13952,2.99,minute.maid,0
462,47680.00001,1.99,minute.maid,1
463,7616,2.69,minute.maid,0
464,8896,2.99,minute.maid,0
465,28543.99999,1.99,minute.maid,1
466,5440,2.99,minute.maid,0
467,52415.99999,1.99,minute.maid,1
468,11712,1.99,minute.maid,0
469,13952,2.99,minute.maid,0
470,36160.00002,1.99,minute.maid,1
471,12864,1.99,minute.maid,0
472,22207.99999,1.99,minute.maid,0
473,9984,1.99,minute.maid,0
474,14016,1.99,minute.maid,0
475,6080,2.46,minute.maid,0
476,7808,2.46,minute.maid,0
477,40896.00001,1.99,minute.maid,1
478,6272,2.46,minute.maid,0
479,7872,2.41,minute.maid,0
480,6144,2.41,minute.maid,0
481,8448,2.41,minute.maid,0
482,18688,1.99,minute.maid,1
483,6272,2.46,minute.maid,0
484,12096,2.46,minute.maid,0
485,73215.99998,1.69,minute.maid,1
486,18944,1.69,minute.maid,0
487,6400,2.46,minute.maid,1
488,8640,2.09,minute.maid,0
489,7296,2.09,minute.maid,0
490,12480,2.09,minute.maid,0
491,14144,2.09,minute.maid,0
492,88255.99999,1.39,minute.maid,1
493,6848,2.26,minute.maid,0
494,7808,2.26,minute.maid,0
495,6272,2.26,minute.maid,0
496,6144,2.26,minute.maid,0
497,27775.99999,1.69,minute.maid,1
498,20800,2.26,minute.maid,0
499,45696.00001,1.69,minute.maid,1
500,14336,1.69,minute.maid,0
501,4928,2.26,minute.maid,0
502,4608,2.26,minute.maid,0
503,5248,2.26,minute.maid,0
504,4224,2.26,minute.maid,0
505,4288,2.26,minute.maid,0
506,16896,2.26,minute.maid,0
507,77184.00003,1.29,minute.maid,1
508,5184,2.26,minute.maid,0
509,5248,2.26,minute.maid,0
510,20672,1.99,minute.maid,1
511,12352,1.89,minute.maid,0
512,12032,1.79,minute.maid,0
513,13440,1.79,minute.maid,0
514,5824,2.26,minute.maid,0
515,50111.99998,1.49,minute.maid,0
516,5184,2.26,minute.maid,0
517,8384,2.26,minute.maid,0
518,10112,1.99,minute.maid,0
519,8384,1.99,minute.maid,0
520,11456,1.99,minute.maid,0
521,5952,2.26,minute.maid,0
522,8512,2.26,minute.maid,0
523,27967.99999,1.99,minute.maid,1
524,23999.99999,1.99,minute.maid,0
525,6848,1.99,minute.maid,0
526,15104,2.49,minute.maid,1
527,11392,2.49,minute.maid,1
528,5824,2.49,minute.maid,0
529,7488,2.66,minute.maid,0
530,8320,1.99,minute.maid,0
531,99904.00001,1.99,minute.maid,1
532,6976,1.99,minute.maid,0
533,9984,2.66,minute.maid,0
534,32832.00002,1.99,minute.maid,1
535,8128,1.99,minute.maid,0
536,6464,2.66,minute.maid,0
537,36799.99999,1.99,minute.maid,1
538,12928,1.99,minute.maid,0
539,7424,2.66,minute.maid,0
540,34175.99999,1.99,minute.maid,1
541,4160,2.66,minute.maid,0
542,5952,2.66,minute.maid,0
543,6528,2.66,minute.maid,0
544,30656.00001,1.99,minute.maid,1
545,6656,2.66,minute.maid,0
546,4416,2.69,minute.maid,0
547,5696,2.69,minute.maid,0
548,5696,2.69,minute.maid,0
549,39679.99998,2.01,minute.maid,1
550,6208,2.19,minute.maid,1
551,7872,2.69,minute.maid,0
552,54527.99999,2.29,minute.maid,1
553,6400,2.69,minute.maid,0
554,5888,2.65,minute.maid,1
555,56383.99998,1.99,minute.maid,1
556,27071.99999,1.99,minute.maid,1
557,3840,1.69,minute.maid,0
558,6144,1.69,minute.maid,0
559,36415.99998,1.99,minute.maid,1
560,5440,2.69,minute.maid,0
561,7680,2.49,minute.maid,0
562,50304.00001,2.19,minute.maid,1
563,1792,1.59,dominicks,1
564,2496,2.49,dominicks,0
565,2944,2.49,dominicks,0
566,1024,2.49,dominicks,0
567,4224,2.49,dominicks,0
568,4544,2.09,dominicks,1
569,1728,2.09,dominicks,0
570,1216,2.09,dominicks,0
571,1152,2.09,dominicks,0
572,30143.99999,1.89,dominicks,1
573,8960,1.89,dominicks,0
574,8192,1.89,dominicks,0
575,6528,1.79,dominicks,0
576,34688.00001,1.79,dominicks,1
577,4672,1.79,dominicks,0
578,1088,2.49,dominicks,0
579,69439.99998,1.24,dominicks,1
580,1280,1.59,dominicks,0
581,35456,1.59,dominicks,1
582,13824,1.29,dominicks,0
583,14208,0.99,dominicks,0
584,29311.99999,1.59,dominicks,1
585,52992.00001,2.49,dominicks,1
586,15680,2.19,dominicks,0
587,43520.00002,1.39,dominicks,1
588,3904,2.19,dominicks,0
589,896,2.19,dominicks,0
590,2240,2.19,dominicks,0
591,125760,0.99,dominicks,1
592,1408,2.19,dominicks,0
593,7232,2.19,dominicks,0
594,41215.99998,1.49,dominicks,1
595,9024,1.49,dominicks,0
596,1600,2.19,dominicks,0
597,2496,2.19,dominicks,0
598,6336,1.99,dominicks,1
599,56383.99998,1.09,dominicks,1
600,1600,2.19,dominicks,0
601,2944,2.19,dominicks,0
602,13504,1.59,dominicks,1
603,5376,1.59,dominicks,0
604,6656,1.59,dominicks,0
605,95679.99998,0.99,dominicks,1
606,896,2.19,dominicks,1
607,1728,2.19,dominicks,0
608,1280,2.19,dominicks,0
609,5696,2.19,dominicks,0
610,28287.99999,1.59,dominicks,1
611,4864,1.59,dominicks,0
612,2880,2.09,dominicks,0
613,5760,1.41,dominicks,1
614,15040,1.29,dominicks,0
615,5120,1.89,dominicks,0
616,3264,1.89,dominicks,0
617,9536,1.59,dominicks,1
618,6208,1.59,dominicks,0
619,6592,1.89,dominicks,0
620,63551.99997,0.99,dominicks,1
621,27967.99999,0.99,dominicks,0
622,21760,1.49,dominicks,1
623,2688,1.49,dominicks,0
624,10432,1.39,dominicks,0
625,9792,1.39,dominicks,0
626,8448,1.39,dominicks,0
627,6912,1.58,dominicks,0
628,8256,1.58,dominicks,0
629,28672.00001,1.58,dominicks,1
630,4416,1.58,dominicks,0
631,1856,1.58,dominicks,0
632,6528,1.58,dominicks,1
633,6080,1.58,dominicks,0
634,3456,1.58,dominicks,0
635,25855.99999,1.58,dominicks,1
636,25728,1.58,dominicks,0
637,23552.00001,1.58,dominicks,1
638,2944,1.58,dominicks,0
639,5888,1.58,dominicks,1
640,6848,1.58,dominicks,0
641,1792,1.58,dominicks,0
642,5248,1.58,dominicks,0
643,16768,1.58,dominicks,0
644,52160.00002,1.58,dominicks,0
645,16640,1.58,dominicks,0
646,1344,1.58,dominicks,0
647,4608,1.58,dominicks,0
648,12672,1.58,dominicks,0
649,48640.00002,1.58,dominicks,1
650,13248,1.58,dominicks,0
651,29247.99999,1.58,dominicks,0
652,4608,1.58,dominicks,0
653,3136,1.58,dominicks,0
654,13184,1.58,dominicks,0
655,67712.00002,1.29,dominicks,1
656,18880,1.29,dominicks,0
657,6208,1.89,dominicks,0
658,5952,1.89,dominicks,0
659,4160,1.99,dominicks,0
660,23487.99999,1.69,dominicks,0
661,60480.00001,1.69,dominicks,0
662,20416,1.69,dominicks,0
663,6336,1.99,dominicks,0
664,1408,1.99,dominicks,0
665,4672,1.99,dominicks,0
666,19520,1.29,dominicks,0
667,7872,1.99,dominicks,0
668,5184,1.69,dominicks,0
669,42239.99998,1.49,dominicks,1
670,6592,1.89,dominicks,1
671,2112,1.99,dominicks,0
672,21248,1.79,dominicks,0
673,1856,1.29,dominicks,0
674,3712,1.99,dominicks,0
675,2688,1.85,dominicks,0
676,6464,1.85,dominicks,0
677,40896.00001,1.49,dominicks,0
678,6144,1.85,dominicks,0
679,8896,3.19,tropicana,0
680,7296,3.19,tropicana,0
681,10368,3.19,tropicana,0
682,6976,3.19,tropicana,0
683,6464,3.19,tropicana,0
684,8192,3.19,tropicana,0
685,7936,3.19,tropicana,0
686,6656,3.19,tropicana,0
687,8256,3.19,tropicana,0
688,5568,3.19,tropicana,0
689,7488,3.19,tropicana,0
690,6144,3.19,tropicana,0
691,11008,3.19,tropicana,0
692,5760,3.19,tropicana,0
693,10112,3.19,tropicana,0
694,8448,3.19,tropicana,0
695,8448,3.19,tropicana,1
696,7424,3.19,tropicana,0
697,5824,3.04,tropicana,0
698,6656,3.04,tropicana,0
699,6272,3.04,tropicana,0
700,6912,3.04,tropicana,0
701,10496,3.19,tropicana,0
702,11840,2.99,tropicana,0
703,9664,2.99,tropicana,0
704,6272,2.99,tropicana,0
705,7168,2.99,tropicana,0
706,29503.99999,2.39,tropicana,0
707,8704,2.39,tropicana,0
708,9280,2.99,tropicana,0
709,12224,2.59,tropicana,0
710,10368,2.59,tropicana,0
711,8128,2.99,tropicana,0
712,5952,2.99,tropicana,0
713,21696,2.49,tropicana,0
714,7808,2.99,tropicana,0
715,8128,2.99,tropicana,0
716,7424,2.99,tropicana,0
717,5952,2.99,tropicana,0
718,7616,2.99,tropicana,0
719,5312,2.99,tropicana,0
720,161792.0001,1.49,tropicana,1
721,17280,2.99,tropicana,0
722,47040.00002,1.99,tropicana,1
723,14464,2.99,tropicana,0
724,52927.99998,1.99,tropicana,1
725,21184,1.99,tropicana,0
726,7360,2.99,tropicana,0
727,15744,2.29,tropicana,1
728,46911.99999,1.99,tropicana,0
729,18240,1.99,tropicana,0
730,6464,2.99,tropicana,0
731,8512,2.99,tropicana,0
732,28416.00001,1.99,tropicana,0
733,16960,1.99,tropicana,0
734,8320,1.99,tropicana,0
735,11136,2.99,tropicana,1
736,27711.99999,2.19,tropicana,0
737,7744,2.19,tropicana,0
738,5184,2.99,tropicana,0
739,6272,2.99,tropicana,0
740,7744,2.99,tropicana,0
741,53183.99999,1.99,tropicana,1
742,6784,2.99,tropicana,0
743,8000,2.49,tropicana,1
744,6592,2.99,tropicana,0
745,5248,2.99,tropicana,0
746,6592,2.94,tropicana,0
747,5888,2.94,tropicana,0
748,6336,2.94,tropicana,0
749,5888,2.94,tropicana,0
750,6080,2.94,tropicana,0
751,6848,2.99,tropicana,0
752,54016,1.99,tropicana,1
753,10368,2.99,tropicana,0
754,5568,2.99,tropicana,0
755,4864,2.99,tropicana,0
756,7232,2.99,tropicana,0
757,15232,2.39,tropicana,0
758,47040.00002,2.39,tropicana,0
759,9280,2.29,tropicana,0
760,6720,2.29,tropicana,0
761,5056,2.89,tropicana,0
762,6080,2.89,tropicana,0
763,10496,2.89,tropicana,0
764,39040.00002,1.99,tropicana,1
765,4480,2.89,tropicana,0
766,61760.00002,1.99,tropicana,1
767,15360,1.79,tropicana,0
768,54975.99998,1.79,tropicana,0
769,34368,1.79,tropicana,0
770,10752,2.89,tropicana,0
771,20096,2.5,tropicana,1
772,16192,2.5,tropicana,0
773,6528,2.89,tropicana,0
774,8320,2.89,tropicana,0
775,30783.99999,2.16,tropicana,1
776,18048,2.89,tropicana,0
777,12864,2.89,tropicana,0
778,7168,2.89,tropicana,0
779,9024,2.89,tropicana,0
780,84991.99997,2.49,tropicana,1
781,14144,2.49,tropicana,0
782,7488,2.89,tropicana,1
783,12352,2.69,tropicana,0
784,5696,2.89,tropicana,0
785,7680,2.89,tropicana,0
786,5440,2.89,tropicana,0
787,5632,2.89,tropicana,0
788,8960,2.79,tropicana,1
789,6080,2.89,tropicana,0
790,8576,2.79,tropicana,1
791,8000,2.89,tropicana,0
792,21760,2.49,tropicana,1
793,12800,2.49,tropicana,0
794,10112,2.89,tropicana,0
795,10304,2.79,tropicana,1
796,6400,2.89,tropicana,0
797,6080,2.62,minute.maid,0
798,51968.00002,1.99,minute.maid,1
799,4928,2.62,minute.maid,0
800,5312,2.62,minute.maid,0
801,39424,2.59,minute.maid,1
802,5568,2.62,minute.maid,0
803,14592,2.62,minute.maid,0
804,22207.99999,2.39,minute.maid,1
805,5760,2.62,minute.maid,0
806,54016,1.99,minute.maid,1
807,5824,2.62,minute.maid,0
808,6528,2.62,minute.maid,0
809,5440,2.62,minute.maid,0
810,36544,2.19,minute.maid,1
811,3776,2.62,minute.maid,0
812,5504,2.62,minute.maid,0
813,12416,2.62,minute.maid,0
814,53696.00001,1.99,minute.maid,1
815,5696,2.51,minute.maid,0
816,4864,2.62,minute.maid,0
817,37183.99999,1.99,minute.maid,1
818,5504,2.62,minute.maid,0
819,51007.99999,1.99,minute.maid,1
820,11072,1.99,minute.maid,0
821,12160,2.62,minute.maid,0
822,30527.99999,1.99,minute.maid,1
823,12096,1.99,minute.maid,0
824,16448,1.99,minute.maid,0
825,9344,1.99,minute.maid,0
826,16128,1.99,minute.maid,0
827,5376,2.17,minute.maid,0
828,6656,2.17,minute.maid,0
829,59711.99999,1.99,minute.maid,1
830,9856,2.17,minute.maid,0
831,6720,2.12,minute.maid,0
832,4224,2.12,minute.maid,0
833,9728,2.12,minute.maid,0
834,40320.00001,1.99,minute.maid,1
